parastatal,year,capital expenditure,recurrent expenditure,allocation
MINISTRY OF PETROLEUM RESOURCES,2012,,,
MINISTRY OF MINES AND STEEL DEVELOPMENT,2012,,,
MINISTRY OF BUDGET AND NATIONAL PLANNING,2012,,,
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2012,,,
FISCAL RESPONSIBILITY COMMISSION,2012,,,
FEDERAL MINISTRY OF WATER RESOURCES,2012,,,
FEDERAL MINISTRY OF JUSTICE,2012,,,
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2012,,,
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2012,,,
MINISTRY OF NIGER DELTA AFFAIRS,2012,,,
NATIONAL SPORTS COMMISSION,2012,,,
FEDERAL MINISTRY OF YOUTH  DEVELOPMENT,2012,,,
FEDERAL MINISTRY OF WOMEN AFFAIRS,2012,,,
FEDERAL MINISTRY OF EDUCATION,2012,,,
FEDERAL MINISTRY OF HEALTH,2012,,,
FEDERAL MINISTRY OF ENVIRONMENT,2012,,,
NATIONAL POPULATION COMMISSION,2012,,,
FEDERAL CHARACTER COMMISSION,2012,,,
FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2012,,,
FEDERAL MINISTRY OF POLICE AFFAIRS,2012,,,
,,,,
PRESIDENCY,2011,,,
MINISTRY OF DEFENCE,2011,,,
MINISTRY OF FOREIGN AFFAIRS,2011,,,
FEDERAL MINISTRY OF INFORMATION,2011,,,
"FEDERAL MINISTRY OF TOURISM, CULTURE & NATIONAL ORIENTATION",2011,,,
FEDERAL MINISTRY OF AVIATION,2011,,,
MINISTRY OF INTERIOR,2011,,,
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2011,,,
AUDITOR GENERAL FOR THE FEDERATION,2011,,,
MINISTRY OF COMMUNICATION TECHNOLOGY,2011,,,
OFFICE OF THE NATIONAL SECURITY ADVISER,2011,,,
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2011,,,
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2011,,,
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2011,,,
FEDERAL MINISTRY OF FINANCE,2011,,,
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2011,,,
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2011,,,
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2011,,,
FEDERAL MINISTRY OF TRANSPORTATION,2011,,,
FEDERAL MINISTRY OF  WORKS,2011,,,
"FEDERAL MINISTRY OF LANDS, HOUSING & URBAN DEVELOPMENT",2011,,,
FEDERAL MINISTRY OF  POWER,2011,,,
MINISTRY OF PETROLEUM RESOURCES,2011,,,
MINISTRY OF MINES AND STEEL DEVELOPMENT,2011,,,
MINISTRY OF BUDGET AND NATIONAL PLANNING,2011,,,
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2011,,,
FISCAL RESPONSIBILITY COMMISSION,2011,,,
